Цифровой код;Наименование краткое;Наименование полное;Код альфа-2;Код альфа-3;autokey
234;ФАРЕРСКИЕ ОСТРОВА;ФАРЕРСКИЕ ОСТРОВА;FO;FRO;classifierOksm_234
238;ФОЛКЛЕНДСКИЕ ОСТРОВА (МАЛЬВИНСКИЕ);ФОЛКЛЕНДСКИЕ ОСТРОВА (МАЛЬВИНСКИЕ);FK;FLK;classifierOksm_238
239;ЮЖНАЯ ДЖОРДЖИЯ И ЮЖНЫЕ САНДВИЧЕВЫ ОСТРОВА;ЮЖНАЯ ДЖОРДЖИЯ И ЮЖНЫЕ САНДВИЧЕВЫ ОСТРОВА;GS;SGS;classifierOksm_239
242;ФИДЖИ;Республика Фиджи;FJ;FJI;classifierOksm_242
246;ФИНЛЯНДИЯ;Финляндская Республика;FI;FIN;classifierOksm_246
248;АЛАНДСКИЕ ОСТРОВА;АЛАНДСКИЕ ОСТРОВА;АХ;ALA;classifierOksm_248
250;ФРАНЦИЯ;Французская Республика;FR;FRA;classifierOksm_250
254;ФРАНЦУЗСКАЯ ГВИАНА;ФРАНЦУЗСКАЯ ГВИАНА;GF;GUF;classifierOksm_254
258;ФРАНЦУЗСКАЯ ПОЛИНЕЗИЯ;ФРАНЦУЗСКАЯ ПОЛИНЕЗИЯ;PF;PYF;classifierOksm_258
260;ФРАНЦУЗСКИЕ ЮЖНЫЕ ТЕРРИТОРИИ;ФРАНЦУЗСКИЕ ЮЖНЫЕ ТЕРРИТОРИИ;TF;ATF;classifierOksm_260
262;ДЖИБУТИ;Республика Джибути;DJ;DJI;classifierOksm_262
266;ГАБОН;Габонская Республика;GA;GAB;classifierOksm_266
268;ГРУЗИЯ;ГРУЗИЯ;GE;GEO;classifierOksm_268
270;ГАМБИЯ;Исламская Республика Гамбия;GM;GMB;classifierOksm_270
275;ПАЛЕСТИНА, ГОСУДАРСТВО;Государство Палестина;PS;PSE;classifierOksm_275
276;ГЕРМАНИЯ;Федеративная Республика Германия;DE;DEU;classifierOksm_276
288;ГАНА;Республика Гана;GH;GHA;classifierOksm_288
292;ГИБРАЛТАР;ГИБРАЛТАР;GI;GIB;classifierOksm_292
296;КИРИБАТИ;Республика Кирибати;KI;KIR;classifierOksm_296
300;ГРЕЦИЯ;Греческая Республика;GR;GRC;classifierOksm_300
304;ГРЕНЛАНДИЯ;ГРЕНЛАНДИЯ;GL;GRL;classifierOksm_304
308;ГРЕНАДА;ГРЕНАДА;GD;GRD;classifierOksm_308
312;ГВАДЕЛУПА;ГВАДЕЛУПА;GP;GLP;classifierOksm_312
316;ГУАМ;ГУАМ;GU;GUM;classifierOksm_316
320;ГВАТЕМАЛА;Республика Гватемала;GT;GTM;classifierOksm_320
324;ГВИНЕЯ;Гвинейская Республика;GN;GIN;classifierOksm_324
328;ГАЙАНА;Кооперативная Республика Гайана;GY;GUY;classifierOksm_328
332;ГАИТИ;Республика Гаити;HT;HTI;classifierOksm_332
334;ОСТРОВ ХЕРД И ОСТРОВА МАКДОНАЛЬД;ОСТРОВ ХЕРД И ОСТРОВА МАКДОНАЛЬД;HM;HMD;classifierOksm_334
336;ПАПСКИЙ ПРЕСТОЛ (ГОСУДАРСТВО - ГОРОД ВАТИКАН);ПАПСКИЙ ПРЕСТОЛ (ГОСУДАРСТВО - ГОРОД ВАТИКАН);VA;VAT;classifierOksm_336
340;ГОНДУРАС;Республика Гондурас;HN;HND;classifierOksm_340
